Track,Feature,Value
"Shape of You",Acousticness,0.581
"See You Again (feat. Charlie Puth)",Acousticness,0.369
"This Is What You Came For",Acousticness,0.199
"No Me Conoce - Remix",Acousticness,0.14
"Con Altura",Acousticness,0.39
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Acousticness,0.075
"Calma - Remix",Acousticness,0.337
"Bang Bang",Acousticness,0.26
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Acousticness,0.075
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Acousticness,0.157
"Échame La Culpa",Acousticness,0.0391
"Lean On",Acousticness,0.00346
"Thrift Shop (feat. Wanz)",Acousticness,0.0633
"Somebody That I Used To Know",Acousticness,0.591
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Acousticness,0.075
"Bang Bang",Acousticness,0.0483
Perfect,Acousticness,0.0598
"See You Again (feat. Charlie Puth)",Acousticness,0.369
"Thrift Shop (feat. Wanz)",Acousticness,0.0633
"Bang Bang",Acousticness,0.26
"Lean On",Acousticness,0.00346
"Sin Pijama",Acousticness,0.352
"Something Just Like This",Acousticness,0.0498
"Sin Pijama",Acousticness,0.352
"Lean On",Acousticness,0.00346
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Acousticness,0.157
"Bang Bang",Acousticness,0.268
"Con Altura",Acousticness,0.39
"No Me Conoce - Remix",Acousticness,0.14
"Wheels on the Bus",Acousticness,0.184
"Something Just Like This",Speechiness,0.0317
Despacito,Speechiness,0.153
"Calma - Remix",Speechiness,0.0522
Despacito,Speechiness,0.153
"Échame La Culpa",Speechiness,0.0389
"Somebody That I Used To Know",Speechiness,0.03
Perfect,Speechiness,0.0661
"Gangnam Style (강남스타일)",Speechiness,0.286
"Wheels On The Bus",Speechiness,0.0771
Perfect,Speechiness,0.0405
"Uptown Funk (feat. Bruno Mars)",Speechiness,0.0824
"Bang Bang",Speechiness,0.0415
"Somebody That I Used To Know",Speechiness,0.037
"This Is What You Came For",Speechiness,0.0332
"Thrift Shop (feat. Wanz)",Speechiness,0.293
Perfect,Speechiness,0.0232
"Shape of You",Speechiness,0.0802
"See You Again (feat. Charlie Puth)",Speechiness,0.0815
"This Is What You Came For",Speechiness,0.0332
"No Me Conoce - Remix",Speechiness,0.0746
"Con Altura",Speechiness,0.124
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Speechiness,0.109
"Calma - Remix",Speechiness,0.0522
"Bang Bang",Speechiness,0.091
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Speechiness,0.109
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Speechiness,0.228
"Échame La Culpa",Speechiness,0.0389
"Lean On",Speechiness,0.0625
"Thrift Shop (feat. Wanz)",Speechiness,0.293
"Somebody That I Used To Know",Speechiness,0.037
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Speechiness,0.109
"Bang Bang",Speechiness,0.0415
Perfect,Speechiness,0.0762
"See You Again (feat. Charlie Puth)",Speechiness,0.0815
"Thrift Shop (feat. Wanz)",Speechiness,0.293
"Bang Bang",Speechiness,0.091
"Lean On",Speechiness,0.0625
"Sin Pijama",Speechiness,0.0448
"Something Just Like This",Speechiness,0.0317
"Sin Pijama",Speechiness,0.0448
"Lean On",Speechiness,0.0625
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Speechiness,0.228
"Bang Bang",Speechiness,0.0368
"Con Altura",Speechiness,0.124
"No Me Conoce - Remix",Speechiness,0.0746
"Wheels on the Bus",Speechiness,0.0427
"Something Just Like This",Instrumentalness,0.0000144
Despacito,Instrumentalness,0
"Calma - Remix",Instrumentalness,0
Despacito,Instrumentalness,0
"Échame La Culpa",Instrumentalness,0
"Somebody That I Used To Know",Instrumentalness,0.00000224
Perfect,Instrumentalness,0.0000665
"Gangnam Style (강남스타일)",Instrumentalness,0
"Wheels On The Bus",Instrumentalness,0
